,comment,cl_comment,user,sent
144,👏👏👌👌👍👍💯💯🔥🔥😍😍🤩🤩🌹🌹🥰🥰,,farim.emami93381,0.49789225920557484
145,"Qué pena no pareces tú, ahora pareces una clon pija de tantas que hay, has perdido tu esencia,  tú ya de por sí eras un bellezón, .",qu pena pareces t ahora pareces clon pija tantas perdido esencia t s bellez n,majopesi87,0.061113787221554146
146,🔥🔥❤️❤️❤️❤️❤️,,icristynagt,0.49789225920557484
147,"Eres preciosa, pero da la impresión de que estás maquillada desde el comienzo del vídeo.  Ojalá algún día podamos verte  sin nada de maquillaje seguro seguirás muy linda",preciosa da impresi n est s maquillada comienzo v deo ojal alg n d podamos verte maquillaje seguro seguir s linda,angelicadmendoza,0.7301205985843138
148,"Una mujer bonita se estropea con tanta cirugía, los labios demasiado inflados y demasiado botox en el entrecejo y frente la cara debe tener alguna línea de expresión sino se ve muy artificial. Me gusta más la belleza natural porque mantiene la esencia.",mujer bonita estropea tanta cirug labios demasiado inflados demasiado botox entrecejo frente cara debe tener alguna l nea expresi n sino ve artificial gusta m s belleza natural mantiene esencia,riveracunqueiromaria,0.001493543668947747
149,Ponte más labios si eso @pilarrubio,ponte m s labios si pilarrubio,nataliachiquitita,0.3318228626708164
150,LA VERDAD ES QUE AUNQUE EL CIRUJANO ES. BUENO LA SENORA PILAR RUBIO TAMBIÉN ES  GUAPISIMA,verdad aunque cirujano bueno senora pilar rubio tambi n guapisima,macu__casedas,0.41182604686881324
151,Empieza a maquillarse y ya está maquillada !así somos todas guapas,empieza maquillarse est maquillada as todas guapas,anghiiiiy,0.6150842836360038
152,Pero que vas a corregir tu hija mía? Si tú eres perfecta 😍,vas corregir hija m si t perfecta,ana7tacia,0.9068511935227364
153,Muy guapa pero nose xq te has pasado en la frente? 😮,guapa nose xq pasado frente,goris32,0.4533023576572791
154,👌🏼👏🏼👏🏼👏🏼👏🏼,,6409_mari,0.49789225920557484
155,Es perfecta....,perfecta,silspillmann,0.9676940472787012
156,"Esta mujer siempre me ha parecido guapísima !! No entiendo que se haya puesto tanto labio arriba ,si quería volumen se ha pasado 3 pueblos ,así parece un poco choni! Y que insulte la inteligencia de las personas que la siguen ,tampoco me parece bien. Si quiere hacer un tutorial de maquillaje que no salga ya maquillada y con filtro !! Pasarse de  lista y pretender engañar no es bueno . No vivas esclava de tu belleza y se un poco más natural que seguro estarás también preciosa . Relájate que todo no es más que empezar y cuando te veas unas veces te acostumbras.Lo que pasa que así apenas hemos visto la diferencia ,si te has quedado igual chiquilla ,no se ha notado nada . También estaría bien que enseñarás lo os productos que usas !! Un besico guapa !!",mujer siempre parecido guap sima entiendo puesto labio arriba si quer volumen pasado 3 pueblos as parece choni insulte inteligencia personas siguen tampoco parece bien si quiere hacer tutorial maquillaje salga maquillada filtro pasarse lista pretender enga ar bueno vivas esclava belleza m s natural seguro s tambi n preciosa rel jate m s empezar veas unas veces acostumbras pasa as apenas visto diferencia si quedado igual chiquilla notado tambi n bien ense ar s productos usas besico guapa,juanipaezgarcia,1.8503097955941874e-09
157,super 🔥🔥🔥🔥🔥😍😍😍😍😍,super,gulnaradzhankurazova,0.7704927801065807
158,😍😍😍😍😍😍😍😍😍,,letymorgav,0.49789225920557484
159,😍❤️,,beautyinlife_____,0.49789225920557484
160,Estabas mejor antes ..ahora se ve muy muy artificial sobretodo los labios,mejor ahora ve artificial sobretodo labios,lanajarra,0.18097121917802683
161,Qué bella!!!,qu bella,bettyserrichio,0.49789225920557484
162,No se puede ser más guapa!!! 😍😍😍,puede ser m s guapa,lafuenteperezlucas,0.33697404783957957
163,👏👏😍❤️,,magalysramos07,0.49789225920557484
164,❤️❤️❤️,,tere725,0.49789225920557484
165,"Maquillaje estando ya maquillada, bonita paradoja.",maquillaje maquillada bonita paradoja,srta.wadita,0.7785298987870656
166,"Hombre, express, express, no mucho. Jaajaj. Muy guapa. Pero para salir 5 mimitos a comprar el pan, cm que es entretenerse mucho jejeje",hombre express express jaajaj guapa salir 5 mimitos comprar pan cm entretenerse jejeje,estherdeleonramirez,0.00916858250133423
167,"Que cambiada y retocada está. Solo conserva los ojos. Con lo guapa y natural que era , ahora ya parece una máscara con esos labios, esa nariz afilada, esa cara estirada...",cambiada retocada est solo conserva ojos guapa natural ahora parece m scara labios nariz afilada cara estirada,garguimila,0.005584082052749841
168,Tu te ves bien hasta con una mascarilla de carbón puesta.,ves bien mascarilla carb n puesta,jason_rabert,0.6323720940364075
169,Eres perfecta😍,perfecta,monicamurcia2_,0.9676940472787012
170,Τι τα θέλεις όλα αυτα;,,evagelinos983,0.49789225920557484
171,"@pilarrubio , BONITO MAQUILLAJE, EXCEPT LOS LABIOS, ESA LINEA OSCURA ES HORRIBLE.  NO ES DE BUEN VER.😢😢😢😢😢",bonito maquillaje except labios linea oscura horrible buen ver,carlita.prats,0.04035981573919533
172,"Pero a ojos no les pasa el agua micelar?
Y yo los veo maquillados desde el ppio pero luego se los maquilla mas, es así o estoy loca?",ojos pasa agua micelar veo maquillados ppio luego maquilla mas as loca,alesiazul,0.000955102479095728
173,👏👏👏😍😍😍❤️❤️🙌,,sebas12345105,0.49789225920557484
174,Express!! Para mi es el de bodas y comuniones,express bodas comuniones,emma.labad,0.49789225920557484
175,Esq mas guapa no puedes ser 😍,esq mas guapa puedes ser,zoilamm7,0.19200237650051674
176,Con el filtro no se aprecia nada lo que te estás poniendo,filtro aprecia est s poniendo,chikidiabliya,0.49789225920557484
177,Maquillada desde el principio (cada dia q pasa la veo mas muñeca de cera),maquillada principio cada dia q pasa veo mas mu eca cera,bealopezmadrid,0.0016000399290756642
178,👏👏👏👏❤️❤️❤️,,rossy27151969,0.49789225920557484
179,Menos mal que era exprés.,menos mal expr s,isabelperezsancjez,0.015056183679005315
180,Cuéntanos todos los productos que has utilizado. Muchas gracias,cu ntanos productos utilizado muchas gracias,helenagrodulfo,0.39012463845002476
181,"Eres muy guapa ,pero con tanto morro ,la estás cagando",guapa morro est s cagando,dori9426,0.49789225920557484
182,Puedes poner que productos has utilizado?? Me ha encantado el vídeo 😉,puedes poner productos utilizado encantado v deo,esther1087,0.6432314186781884
183,Guappa ❤️❤️,guappa,annimrabet,0.49789225920557484
184,Milf number one,milf number one,kristianbjerke7,0.49789225920557484
185,"Esos labios🤦‍♀️.... y esto es maquillaje express  pues el normal,  como será? 😂😂",labios maquillaje express pues normal ser,yolaandaa_gr,0.024545080695155
186,La verdad es que no necesitas todo ese maquillaje. Eres muy bonita sin tanto ☺️👍,verdad necesitas maquillaje bonita,kathy_kcd,0.8631081421483074
187,"Eres bellísima, no te hace falta maquillaje😂😂😍",bell sima hace falta maquillaje,maygonzalezgonzalez,0.1346440376773165
188,"Pilar , qué has hecho con tu boca ? Estabas más guapa antes ...",pilar qu hecho boca m s guapa,anabraunilana,0.2195413527256455
189,@pilarrubio Te has hecho algun retoque estetico en la cara ? Se te ve algo diferente pero magistral,hecho algun retoque estetico cara ve diferente magistral,luccianipessoto,0.02013389524332099
190,Si es que vales para todo mujer!!!!,si vales mujer,monica_gonzalez_makeup,0.13848303603833684
191,Estas Guapísima 👏👏👏👏👏,guap sima,senna7690,0.49789225920557484
192,😍😍😍🙌❤️preciosa,preciosa,ssssshhhhh85,0.8898774711706283
193,Tu estás guapa siempre,est s guapa siempre,juanignacioprz,0.6387765042918215
194,"Pero si se le nota los 3 kilos de maquillaje que ya tiene encima... Se esta pintando sobre ya pintada, esos labios no es el color natural de una, y los ojos pintados de negro... Y la piel se nota que no es de estar recien levanta de una cama con la cara limpia...",si nota 3 kilos maquillaje encima pintando pintada labios color natural ojos pintados negro piel nota recien levanta cama cara limpia,sandramcjb,0.005140961375168325
195,No entiendo....pero si ya estabas maquillada....😳,entiendo si maquillada,sandrasuscenkooo,0.03345551644050867
196,Reboque total,reboque total,mabelacevedo_m,0.1933311826096359
197,Expres expres…😂cuanto rato y q dificil,expres expres cuanto rato q dificil,beagala_yoga,0.20702650798245664
198,😍😍😍 guapa,guapa,zaida.cabrera.777,0.49789225920557484
199,😍😍😍😍😍,,rosaly__sanchez,0.49789225920557484
200,Pues el desmaquillante no es nada bueno por que sigues con maquillaje jajaja,pues desmaquillante bueno sigues maquillaje jajaja,yolandiaz,0.24115294319023137
201,"Exprés dices?? Jaja, pues lo que yo hago no sé cómo llamarlo.... 😂",expr s dices jaja pues hago s c mo llamarlo,sctoledano,0.1966513218550911
202,"Me encanta la combinación, es ideal, pero no pareces tu, entre el cambio de pelo y los retoquitos. Echo de menos a la rokerilla",encanta combinaci n ideal pareces cambio pelo retoquitos echo menos rokerilla,mlopezmi_,0.597111574304316
203,Pero si sigue maquillada🤣,si sigue maquillada,anmicagu37,0.2271041157347836
204,"Jolin que cambiada estas, pareces de cera, nadie te aconseja para  decirte que o paras o te dedgracias. No lo entiendo  con lo guapa que eras.",jolin cambiada pareces cera nadie aconseja decirte paras dedgracias entiendo guapa,carme2208,0.003065783718776636
205,"Spress dice,!!!",spress dice,valdefuentesalcom,0.09058687187795857
206,😍😍😍😍😍😍😍😍,,elizabethhonzaga07,0.49789225920557484
207,Todo son buenos comentarios 😂😂 qué bonita es la naturalidad,buenos comentarios qu bonita naturalidad,krista_7305,0.567765678816813
