,comment,cl_comment,wordlist,emojis,sent_num,sent,user,mentioned,likes
3080,🔥, ,[],🔥,0.1397849462365591,neu,moises.dagon, ,0
3081,Hot Barbie 🔥😍,hot barbi,"['hot', 'barbi']",🔥😍,0.20443043218738322,neu,masih00rauofi, ,1
3082,😍😍😍, ,[],😍😍😍,0.6779367825129737,neu,sasha_zverev, ,0
3083,😍😍😍❤️❤️, ,[],😍😍😍❤❤,0.7051968521164799,neu,anto.8208, ,0
3084,So beautiful,beauti,['beauti'], ,0.0,neu,a.m.azizinejad, ,0
3085,Beautiful😍,beauti,['beauti'],😍,0.33896839125648687,neu,nana._najafi, ,0
3086,Well okay.. beside ya look fabulous 😒… alright..🤍🔫,well okay besid ya look fabul alright,"['well', 'okay', 'besid', 'ya', 'look', 'fabul', 'alright']",😒🤍🔫,0.4129673910791276,pos,sahartalezari, ,0
3087,Hermosa 😍😍😍,hermosa,['hermosa'],😍😍😍,0.5084525868847303,neu,elig_5, ,0
3088,🔥🙌❤️ @caradelevingne, ,[],🔥🙌❤,0.48209895651925566,neu,schmeltzbrian,caradelevingne ,0
3089,👏❤️, ,[],👏❤,0.6333174508636092,neu,camiladroguett10, ,0
3090,"Du er særdeles spændstig, må jeg nok sige 👏😍",du er srdele spndstig jeg nok sige,"['du', 'er', 'srdele', 'spndstig', 'jeg', 'nok', 'sige']",👏😍,0.13316496974649478,neu,stefanlaustsen, ,0
3091,🔥, ,[],🔥,0.1397849462365591,neu,jennyburgartz, ,0
3092,@t.fore_  me, ,[], ,0.0,neu,hylertarris,t.fore_ ,0
3093,Enchantress😮,enchantress,['enchantress'],😮,0.1388888888888889,neu,captaindileep, ,0
3094,Love u,love u,"['love', 'u']", ,0.6369,pos,a.beccalli, ,0
3095,"you are becoming more and more breathtaking! 
😍",becom breathtak,"['becom', 'breathtak']",😍,0.22597892750432458,neu,warlox, ,0
3096,🙌🙌, ,[],🙌🙌,0.5604249667994687,neu,amir.ataei089, ,0
3097,🤨🤨😪👍, ,[],🤨🤨😪👍,0.22060074214326317,neu,amir.ataei089, ,0
3098,Puma is awesome. Sick it Nike.,puma awesom sick nike,"['puma', 'awesom', 'sick', 'nike']", ,-0.5106,neg,aidenarkham, ,0
3099,@caradelevingne is a grrrrr 😋,grrrrr,['grrrrr'],😋,0.31675749318801094,neu,ainaantoine_rr,caradelevingne ,0
3100,Who is a princess never ceases to be majesty🥰🥰🥰🇧🇷,princess never ceas majesti,"['princess', 'never', 'ceas', 'majesti']",🥰🥰🥰,0.0,neu,antoniomatos.matos.3382, ,0
3101,love you darling 💋,love darl,"['love', 'darl']",💋,0.6557534968210716,pos,mr.red_honda_sport, ,0
3102,Very nice,nice,['nice'], ,0.4215,pos,ramonlunasaenz, ,0
3103,My love🔥❤️,love,['love'],🔥❤,0.5075906342527661,pos,ipaydar.aliw, ,1
3104,Beautiful😍😍,beauti,['beauti'],😍😍,0.45195785500864916,neu,b_iwanuma, ,0
3105,Stunning 🥂,stun,['stun'],🥂,0.0,neu,miietra, ,0
3106,Nice woman,nice woman,"['nice', 'woman']", ,0.4215,pos,petergriffin2022_, ,0
3107,🥲💕✨, ,[],🥲💕✨,0.4927555031446541,neu,miietra, ,0
3108,What a rocket,rocket,['rocket'], ,0.0,neu,danpeacock89, ,0
3109,❤️❤️❤️❤️❤️❤️❤️, ,[],❤❤❤❤❤❤❤,0.7460869565217392,neu,barajasdelcastilloj, ,0
3110,❤️❤️, ,[],❤❤,0.7460869565217392,neu,kayuugaa, ,0
3111,👏👏👏, ,[],👏👏👏,0.5205479452054794,neu,treunatelier, ,0
3112,💚, ,[],💚,0.659217877094972,neu,dream___103, ,0
3113,Very Beautiful 😍,beauti,['beauti'],😍,0.33896839125648687,neu,rocapovilla_13, ,0
3114,pisame,pisam,['pisam'], ,0.0,neu,val.bltr, ,0
3115,❤️, ,[],❤,0.7460869565217392,neu,happygenius.1, ,0
3116,Sexy,sexi,['sexi'], ,0.0,neu,kazhalvaziri, ,0
3117,🔥🔥, ,[],🔥🔥,0.1397849462365591,neu,mary_mary1119, ,0
3118,Чей туфля?, ,[], ,0.0,neu,goblin_b_noskax, ,0
3119,👏😍❤️, ,[],👏😍❤,0.6481905614133975,neu,bispo9058, ,0
3120,😍🤩🇧🇷😘, ,[],😍🤩😘,0.689845584238943,neu,bruna_marasobrinho, ,1
3121,🔥, ,[],🔥,0.1397849462365591,neu,noah_kurzidim, ,0
3122,Really hot😍🔥,realli hot,"['realli', 'hot']",😍🔥,0.20443043218738322,neu,d1998tz, ,0
3123,"Wonder how long they last ('cause I would like to buy that kind of shoes as well, but having them melted after few months would be, ekhm, an interesting experience, especially when I don't change clothes/shoes every season)",wonder long last caus would like buy kind shoe well melt month would ekhm interest experi especi not chang clothessho everi season,"['wonder', 'long', 'last', 'caus', 'would', 'like', 'buy', 'kind', 'shoe', 'well', 'melt', 'month', 'would', 'ekhm', 'interest', 'experi', 'especi', 'not', 'chang', 'clothessho', 'everi', 'season']", ,0.875,pos,eux_hr_rwq, ,0
3124,Nice. Beautiful. And simple..✌😀,nice beauti simpl,"['nice', 'beauti', 'simpl']",✌😀,0.4600800019601262,pos,seacaptainmonkey, ,0
3125,👏, ,[],👏,0.5205479452054794,neu,djcybmusic, ,0
3126,🔥🔥🔥, ,[],🔥🔥🔥,0.1397849462365591,neu,arnoldvanderent, ,0
3127,"That is all hypocrisy at its finest, man! If they'd start caring about the planet they wouldn't encourage people to buy new collections every fucking season but stop finally producing more shit than people will ever need. It's all about consuming. If they would care they would recycle the hell out of 2nd hand products that already exist and not produce produce and produce even more waste. You're fighting the wrong fight. Sorry.",hypocrisi finest man start care planet would not encourag peopl buy new collect everi fuck season stop final produc shit peopl ever need consum would care would recycl hell nd hand product alreadi exist not produc produc produc even wast fight wrong fight sorri,"['hypocrisi', 'finest', 'man', 'start', 'care', 'planet', 'would', 'not', 'encourag', 'peopl', 'buy', 'new', 'collect', 'everi', 'fuck', 'season', 'stop', 'final', 'produc', 'shit', 'peopl', 'ever', 'need', 'consum', 'would', 'care', 'would', 'recycl', 'hell', 'nd', 'hand', 'product', 'alreadi', 'exist', 'not', 'produc', 'produc', 'produc', 'even', 'wast', 'fight', 'wrong', 'fight', 'sorri']", ,-0.9118,neg,o0melly0o, ,5
3128,♥️!!!!, ,[],♥,0.6576147816349384,neu,nanna_nannat, ,0
3129,crush🔥☹️,crush,['crush'],🔥☹,-0.2044383512544803,neu,ho3eiin_k, ,0
3130,love you 😍😍🔥🔥,love,['love'],😍😍🔥🔥,0.45446869149981317,pos,mahsafazli.200, ,0
3131,Eat the rich huh,eat rich huh,"['eat', 'rich', 'huh']", ,0.5574,pos,cole.thefirst, ,0
3132,Fuckin' gorgeous,fuckin gorgeou,"['fuckin', 'gorgeou']", ,0.0,neu,roni_janoo, ,0
3133,YASSSSSS ❤️‍🔥 PUMA!!!,yassssss puma,"['yassssss', 'puma']",❤🔥,0.22146797568957458,neu,moonstonewitch13, ,0
3134,Fantastic 👏👏👏,fantast,['fantast'],👏👏👏,0.3904109589041096,neu,danny_wilko94, ,0
3135,Cara is beautiful 😍😍😍,cara beauti,"['cara', 'beauti']",😍😍😍,0.4067620695077842,neu,cassanelli.andrea, ,0
3136,Trop belle Cara. Je kiffe... Grave 😍😍😍❤️❤️❤️🌹,trop bell cara je kiff grave,"['trop', 'bell', 'cara', 'je', 'kiff', 'grave']",😍😍😍❤❤❤🌹,0.19936433333716985,neu,vincibatt, ,0
3137,😍😍, ,[],😍😍,0.6779367825129737,neu,edubijl, ,0
3138,Goddess,goddess,['goddess'], ,0.0,neu,edubijl, ,0
3139,🤩👍🏻, ,[],🤩👍🏻,0.5221143473570657,neu,bernard_chupiekyong, ,0
3140,😍😍😍, ,[],😍😍😍,0.6779367825129737,neu,ng_kot3k, ,0
3141,❤️, ,[],❤,0.7460869565217392,neu,itscholabautista, ,1
3142,SUCH A WOW!! 🔥,wow,['wow'],🔥,0.36284247311827955,pos,shelly.mood, ,1
3143,😍❤️😍, ,[],😍❤😍,0.7006535071825623,neu,raf1tos, ,0
3144,You'r amazing 💖💖,r amaz,"['r', 'amaz']",💖💖,0.3566904196357878,neu,angelaroland81, ,1
3145,You go girl! 🌍🌍🌍 We all got to help save the planet 😊😊😊,go girl got help save planet,"['go', 'girl', 'got', 'help', 'save', 'planet']",🌍🌍🌍😊😊😊,0.6703856504560393,pos,carasfacialexpressions, ,3
3146,Swag 🔥,swag,['swag'],🔥,0.06989247311827955,neu,__the_unspoken, ,0
