,comment,cl_comment,wordlist,emojis,sent_num,sent,user,mentioned,likes
3131,Nice😍😍😍😍😍😍😍😍🍇🍇🍇🍇🍇🍇🍇🍇🍇,nice,['nice'],😍😍😍😍😍😍😍😍🍇🍇🍇🍇🍇🍇🍇🍇🍇,0.47689581638257744,pos,taijul79563354, ,0
3132,👍, ,[],👍,0.5221143473570657,neu,ekoarnoldus, ,0
3133,Привет, ,[], ,0.0,neu,su.jin5116, ,0
3134,Baby you are sweet hot 🔥 🥵,babi sweet hot,"['babi', 'sweet', 'hot']",🔥🥵,0.3790462365591397,pos,ub8x58, ,0
3135,Damn,damn,['damn'], ,-0.4019,neg,iam_akshat_7, ,0
3136,Hi,hi,['hi'], ,0.0,neu,qadirafridi95gmail.c, ,0
3137,Hi,hi,['hi'], ,0.0,neu,qadirafridi95gmail.c, ,0
3138,Nice,nice,['nice'], ,0.4215,pos,bharat.sisodiya.14473, ,1
3139,Wow,wow,['wow'], ,0.5859,pos,williamwelch991, ,0
3140,❤️❤️😢😍, ,[],❤❤😢😍,0.5441965657449207,neu,rajusalvi4420, ,0
3141,❤️, ,[],❤,0.7460869565217392,neu,rajusalvi4420, ,0
3142,❤️, ,[],❤,0.7460869565217392,neu,toumytentacion, ,0
3143,Hello,hello,['hello'], ,0.0,neu,sumitgupta4451, ,0
3144,🔥, ,[],🔥,0.1397849462365591,neu,rohit_khurana_436, ,0
3145,😍, ,[],😍,0.6779367825129737,neu,vijaypanchal3391, ,0
3146,"You are beautiful, with a beautiful body, and your beautiful breasts, your wonderful breasts, and your sweet pussy.🔥🔥",beauti beauti bodi beauti breast wonder breast sweet pussi,"['beauti', 'beauti', 'bodi', 'beauti', 'breast', 'wonder', 'breast', 'sweet', 'pussi']",🔥🔥,0.40079726295210166,pos,chinwi_iscobar, ,0
3147,🔥, ,[],🔥,0.1397849462365591,neu,gutierrezneill512, ,1
3148,Such a gorgeous mama,gorgeou mama,"['gorgeou', 'mama']", ,0.0,neu,maryjeanpotopsky, ,0
3149,❤️, ,[],❤,0.7460869565217392,neu,gousjatkar, ,0
3150,❤️❤️❤️❤️❤️, ,[],❤❤❤❤❤,0.7460869565217392,neu,bara.na7664, ,0
3151,Hi,hi,['hi'], ,0.0,neu,makvanaghanshyam.makvana, ,0
3152,❤️❤️❤️, ,[],❤❤❤,0.7460869565217392,neu,davoodarbabbi, ,0
3153,سلام, ,[], ,0.0,neu,davoodarbabbi, ,0
3154,Open sexi,open sexi,"['open', 'sexi']", ,0.0,neu,tarunangining566, ,0
3155,❤️❤️😍, ,[],❤❤😍,0.7233702318521508,neu,waseembhi33, ,0
3156,Ilvu,ilvu,['ilvu'], ,0.0,neu,waseembhi33, ,0
3157,❤️🔥🌹, ,[],❤🔥🌹,0.49877900634578937,neu,javiercervantes333, ,0
3158,❤️, ,[],❤,0.7460869565217392,neu,shakirshaikhsabirsabir, ,0
